******************************************************************
* Optimized Ganymede Orbiter Trajectory (60s step)
******************************************************************
Title: Ganymede Orbiter Analysis
Planet: Jupiter
Coordinates: PEI
Columns: JDCT, X, Y, Z
Format: CSV
******************************************************************
$$BEGIN
2460311.042361111, 628438.537191, -782077.870632, -362557.051993
2460311.043055556, 628873.440368, -781732.426911, -362436.265361
2460311.043750000, 629309.966281, -781386.688647, -362318.458428
2460311.044444445, 629748.219741, -781040.655929, -362203.566295
2460311.045138889, 630188.303294, -780694.328852, -362091.520518
2460311.045833333, 630630.317107, -780347.707513, -361982.249190
2460311.046527778, 631074.358843, -780000.792016, -361875.677021
2460311.047222222, 631520.523554, -779653.582466, -361771.725423
2460311.047916667, 631968.903563, -779306.078975, -361670.312606
2460311.048611111, 632419.588360, -778958.281658, -361571.353667
2460311.049305555, 632872.664498, -778610.190634, -361474.760689
2460311.050000000, 633328.215487, -778261.806027, -361380.442845
2460311.050694444, 633786.321698, -777913.127966, -361288.306499
2460311.051388889, 634247.060270, -777564.156584, -361198.255318
2460311.052083333, 634710.505016, -777214.892018, -361110.190382
2460311.052777778, 635176.726341, -776865.334412, -361024.010300
2460311.053472222, 635645.791152, -776515.483911, -360939.611322
2460311.054166667, 636117.762786, -776165.340669, -360856.887470
2460311.054861111, 636592.700929, -775814.904840, -360775.730650
2460311.055555556, 637070.661550, -775464.176587, -360696.030786
2460311.056250000, 637551.696834, -775113.156075, -360617.675943
2460311.056944444, 638035.855118, -774761.843474, -360540.552462
2460311.057638889, 638523.180836, -774410.238960, -360464.545086
2460311.058333333, 639013.714465, -774058.342712, -360389.537101
2460311.059027778, 639507.492479, -773706.154915, -360315.410469
2460311.059722222, 640004.547303, -773353.675757, -360242.045967
2460311.060416667, 640504.907276, -773000.905432, -360169.323324
2460311.061111111, 641008.596616, -772647.844138, -360097.121364
2460311.061805556, 641515.635395, -772294.492077, -360025.318146
2460311.062500000, 642026.039510, -771940.849455, -359953.791109
2460311.063194444, 642539.820668, -771586.916483, -359882.417211
2460311.063888889, 643056.986369, -771232.693376, -359811.073077
2460311.064583333, 643577.539900, -770878.180353, -359739.635143
2460311.065277778, 644101.480330, -770523.377637, -359667.979796
2460311.065972222, 644628.802507, -770168.285454, -359595.983526
2460311.066666667, 645159.497073, -769812.904035, -359523.523061
2460311.067361111, 645693.550464, -769457.233614, -359450.475522
2460311.068055556, 646230.944937, -769101.274429, -359376.718558
2460311.068750000, 646771.658580, -768745.026720, -359302.130491
2460311.069444444, 647315.665347, -768388.490731, -359226.590463
2460311.070138889, 647862.935085, -768031.666710, -359149.978568
2460311.070833333, 648413.433568, -767674.554907, -359072.176003
2460311.071527778, 648967.122541, -767317.155574, -358993.065196
2460311.072222222, 649523.959760, -766959.468967, -358912.529950
2460311.072916667, 650083.899050, -766601.495343, -358830.455577
2460311.073611111, 650646.890350, -766243.234964, -358746.729030
2460311.074305556, 651212.879778, -765884.688090, -358661.239034
2460311.075000000, 651781.809695, -765525.854986, -358573.876218
2460311.075694445, 652353.618767, -765166.735918, -358484.533241
2460311.076388889, 652928.242044, -764807.331153, -358393.104916
2460311.077083333, 653505.611032, -764447.640960, -358299.488333
2460311.077777778, 654085.653775, -764087.665608, -358203.582975
2460311.078472222, 654668.294938, -763727.405369, -358105.290840
2460311.079166667, 655253.455899, -763366.860513, -358004.516549
2460311.079861111, 655841.054836, -763006.031313, -357901.167460
2460311.080555555, 656431.006826, -762644.918041, -357795.153772
2460311.081250000, 657023.223944, -762283.520969, -357686.388630
2460311.081944444, 657617.615366, -761921.840371, -357574.788224
2460311.082638889, 658214.087473, -761559.876517, -357460.271888
2460311.083333333, 658812.543962, -761197.629680, -357342.762189
2460311.084027778, 659412.885959, -760835.100130, -357222.185018
2460311.084722222, 660015.012131, -760472.288138, -357098.469674
2460311.085416667, 660618.818807, -760109.193972, -356971.548946
2460311.086111111, 661224.200096, -759745.817899, -356841.359190
2460311.086805556, 661831.048012, -759382.160186, -356707.840398
2460311.087500000, 662439.252600, -759018.221097, -356570.936271
2460311.088194444, 663048.702058, -758654.000893, -356430.594281
2460311.088888889, 663659.282873, -758289.499835, -356286.765732
2460311.089583333, 664270.879949, -757924.718181, -356139.405812
2460311.090277778, 664883.376741, -757559.656184, -355988.473647
2460311.090972222, 665496.655389, -757194.314098, -355833.932345
2460311.091666667, 666110.596855, -756828.692172, -355675.749041
2460311.092361111, 666725.081059, -756462.790650, -355513.894929
2460311.093055556, 667339.987019, -756096.609777, -355348.345298
2460311.093750000, 667955.192988, -755730.149791, -355179.079561
2460311.094444444, 668570.576598, -755363.410927, -355006.081270
2460311.095138889, 669186.014998, -754996.393417, -354829.338145
2460311.095833333, 669801.384996, -754629.097488, -354648.842080
2460311.096527778, 670416.563200, -754261.523362, -354464.589153
2460311.097222222, 671031.426162, -753893.671258, -354276.579632
2460311.097916667, 671645.850518, -753525.541390, -354084.817971
2460311.098611111, 672259.713129, -753157.133968, -353889.312807
2460311.099305556, 672872.891226, -752788.449194, -353690.076950
2460311.100000000, 673485.262546, -752419.487268, -353487.127364
2460311.100694444, 674096.705477, -752050.248385, -353280.485151
2460311.101388889, 674707.099196, -751680.732732, -353070.175524
2460311.102083333, 675316.323805, -751310.940493, -352856.227780
2460311.102777778, 675924.260474, -750940.871845, -352638.675264
2460311.103472222, 676530.791572, -750570.526960, -352417.555331
2460311.104166667, 677135.800806, -750199.906004, -352192.909303
2460311.104861111, 677739.173353, -749829.009138, -351964.782422
2460311.105555556, 678340.795991, -749457.836515, -351733.223798
2460311.106250000, 678940.557232, -749086.388283, -351498.286351
2460311.106944445, 679538.347447, -748714.664586, -351260.026750
2460311.107638889, 680134.058992, -748342.665557, -351018.505352
2460311.108333333, 680727.586335, -747970.391328, -350773.786127
2460311.109027778, 681318.826174, -747597.842022, -350525.936587
2460311.109722222, 681907.677558, -747225.017754, -350275.027710
2460311.110416667, 682494.042002, -746851.918637, -350021.133856
2460311.111111111, 683077.823600, -746478.544775, -349764.332682
2460311.111805555, 683658.929137, -746104.896265, -349504.705054
2460311.112500000, 684237.268195, -745730.973198, -349242.334953
2460311.113194444, 684812.753258, -745356.775661, -348977.309377
2460311.113888889, 685385.299813, -744982.303731, -348709.718246
2460311.114583333, 685954.826448, -744607.557481, -348439.654291
2460311.115277778, 686521.254942, -744232.536978, -348167.212955
2460311.115972222, 687084.510362, -743857.242281, -347892.492276
2460311.116666667, 687644.521145, -743481.673444, -347615.592779
2460311.117361111, 688201.219179, -743105.830514, -347336.617359
2460311.118055556, 688754.539889, -742729.713533, -347055.671162
2460311.118750000, 689304.422303, -742353.322536, -346772.861463
2460311.119444444, 689850.809128, -741976.657553, -346488.297544
2460311.120138889, 690393.646817, -741599.718608, -346202.090565
2460311.120833333, 690932.885625, -741222.505718, -345914.353440
2460311.121527778, 691468.479672, -740845.018896, -345625.200703
2460311.122222222, 692000.386996, -740467.258149, -345334.748376
2460311.122916667, 692528.569596, -740089.223478, -345043.113837
2460311.123611111, 693052.993485, -739710.914881, -344750.415683
2460311.124305556, 693573.628719, -739332.332348, -344456.773592
2460311.125000000, 694090.449441, -738953.475866, -344162.308188
2460311.125694444, 694603.433904, -738574.345417, -343867.140897
2460311.126388889, 695112.564500, -738194.940978, -343571.393808
2460311.127083333, 695617.827777, -737815.262522, -343275.189535
2460311.127777778, 696119.214460, -737435.310018, -342978.651071
2460311.128472222, 696616.719454, -737055.083431, -342681.901647
2460311.129166667, 697110.341856, -736674.582720, -342385.064590
2460311.129861111, 697600.084953, -736293.807845, -342088.263181
2460311.130555556, 698085.956218, -735912.758759, -341791.620508
2460311.131250000, 698567.967301, -735531.435413, -341495.259331
2460311.131944444, 699046.134017, -735149.837755, -341199.301933
2460311.132638889, 699520.476324, -734767.965731, -340903.869982
2460311.133333333, 699991.018302, -734385.819283, -340609.084390
2460311.134027778, 700457.788125, -734003.398352, -340315.065172
2460311.134722222, 700920.818027, -733620.702877, -340021.931309
2460311.135416667, 701380.144264, -733237.732795, -339729.800609
2460311.136111111, 701835.807071, -732854.488043, -339438.789571
2460311.136805556, 702287.850617, -732470.968554, -339149.013253
2460311.137500000, 702736.322954, -732087.174263, -338860.585133
2460311.138194445, 703181.275956, -731703.105102, -338573.616985
2460311.138888889, 703622.765264, -731318.761004, -338288.218747
2460311.139583333, 704060.850218, -730934.141902, -338004.498391
2460311.140277778, 704495.593791, -730549.247728, -337722.561806
2460311.140972222, 704927.062511, -730164.078417, -337442.512668
2460311.141666667, 705355.326389, -729778.633902, -337164.452326
